id,title,description,availability,condition,price,link,image_link,brand
13767,Anipa esmalte semipermanente n 39,anipa esmalte semipermanente n 39,in stock,new,6500,https://almacensandra.com.co/product/p-13767-anipa-esmalte-semipermanente-n-39,https://casandra-static.s3.amazonaws.com/products/13767/81380.jpg,FLOWER
13768,Anipa esmalte semipermanente n 48,anipa esmalte semipermanente n 48,in stock,new,6500,https://almacensandra.com.co/product/p-13768-anipa-esmalte-semipermanente-n-48,https://casandra-static.s3.amazonaws.com/products/13768/81381.jpg,FLOWER
13769,Anipa esmalte semipermanente n 16,anipa esmalte semipermanente n 16,in stock,new,6500,https://almacensandra.com.co/product/p-13769-anipa-esmalte-semipermanente-n-16,https://casandra-static.s3.amazonaws.com/products/13769/81382.jpg,FLOWER
13770,Anipa esmalte semipermanente n 77,anipa esmalte semipermanente n 77,in stock,new,6500,https://almacensandra.com.co/product/p-13770-anipa-esmalte-semipermanente-n-77,https://casandra-static.s3.amazonaws.com/products/13770/81385.jpg,FLOWER
13772,Anipa esmalte semipermanente n 59,anipa esmalte semipermanente n 59,in stock,new,6500,https://almacensandra.com.co/product/p-13772-anipa-esmalte-semipermanente-n-59,https://casandra-static.s3.amazonaws.com/products/13772/81387.jpg,FLOWER
13773,Anipa esmalte semipermanente n 71,anipa esmalte semipermanente n 71,in stock,new,6500,https://almacensandra.com.co/product/p-13773-anipa-esmalte-semipermanente-n-71,https://casandra-static.s3.amazonaws.com/products/13773/81388.jpg,FLOWER
13775,Anipa esmalte semipermanente n 37,anipa esmalte semipermanente n 37,in stock,new,6500,https://almacensandra.com.co/product/p-13775-anipa-esmalte-semipermanente-n-37,https://casandra-static.s3.amazonaws.com/products/13775/81390.jpg,FLOWER
13777,Anipa esmalte semipermanente n 57,anipa esmalte semipermanente n 57,in stock,new,6500,https://almacensandra.com.co/product/p-13777-anipa-esmalte-semipermanente-n-57,https://casandra-static.s3.amazonaws.com/products/13777/81393.jpg,FLOWER
13778,Anipa esmalte semipermanente n 75,anipa esmalte semipermanente n 75,in stock,new,6500,https://almacensandra.com.co/product/p-13778-anipa-esmalte-semipermanente-n-75,https://casandra-static.s3.amazonaws.com/products/13778/81394.jpg,FLOWER
13780,Anipa esmalte semipermanente n 72,anipa esmalte semipermanente n 72,in stock,new,6500,https://almacensandra.com.co/product/p-13780-anipa-esmalte-semipermanente-n-72,https://casandra-static.s3.amazonaws.com/products/13780/81396.jpg,FLOWER
13781,Anipa esmalte semipermanente n 81,anipa esmalte semipermanente n 81,in stock,new,6500,https://almacensandra.com.co/product/p-13781-anipa-esmalte-semipermanente-n-81,https://casandra-static.s3.amazonaws.com/products/13781/81397.jpg,FLOWER
13782,Anipa esmalte semipermanente n 56,anipa esmalte semipermanente n 56,in stock,new,6500,https://almacensandra.com.co/product/p-13782-anipa-esmalte-semipermanente-n-56,https://casandra-static.s3.amazonaws.com/products/13782/81399.jpg,FLOWER
13783,Anipa esmalte semipermanente n 31,anipa esmalte semipermanente n 31,in stock,new,6500,https://almacensandra.com.co/product/p-13783-anipa-esmalte-semipermanente-n-31,https://casandra-static.s3.amazonaws.com/products/13783/81400.jpg,FLOWER
13784,Anipa esmalte semipermanente n 62,anipa esmalte semipermanente n 62,in stock,new,6500,https://almacensandra.com.co/product/p-13784-anipa-esmalte-semipermanente-n-62,https://casandra-static.s3.amazonaws.com/products/13784/81401.jpg,FLOWER
13785,Anipa esmalte semipermanente n 61,anipa esmalte semipermanente n 61,in stock,new,6500,https://almacensandra.com.co/product/p-13785-anipa-esmalte-semipermanente-n-61,https://casandra-static.s3.amazonaws.com/products/13785/81403.jpg,FLOWER
13786,Anipa esmalte semipermanente n 29,anipa esmalte semipermanente n 29,in stock,new,6500,https://almacensandra.com.co/product/p-13786-anipa-esmalte-semipermanente-n-29,https://casandra-static.s3.amazonaws.com/products/13786/81404.jpg,FLOWER
13787,Anipa esmalte semipermanente n 70,anipa esmalte semipermanente n 70,in stock,new,6500,https://almacensandra.com.co/product/p-13787-anipa-esmalte-semipermanente-n-70,https://casandra-static.s3.amazonaws.com/products/13787/81405.jpg,FLOWER
13788,Anipa esmalte semipermanente n 28,anipa esmalte semipermanente n 28,in stock,new,6500,https://almacensandra.com.co/product/p-13788-anipa-esmalte-semipermanente-n-28,https://casandra-static.s3.amazonaws.com/products/13788/81407.jpg,FLOWER
13799,Anipa esmalte semipermanente n 08,anipa esmalte semipermanente n 08,in stock,new,6500,https://almacensandra.com.co/product/p-13799-anipa-esmalte-semipermanente-n-08,https://casandra-static.s3.amazonaws.com/products/13799/81423.jpg,FLOWER
13802,L mar etniker tratamiento  capilar pacìfico x 1000g,l mar etniker tratamiento  capilar pacìfico x 1000g,in stock,new,29400,https://almacensandra.com.co/product/p-13802-l-mar-etniker-tratamiento-capilar-pacifico-x-1000g,https://casandra-static.s3.amazonaws.com/products/13802/81430.jpg,L MAR
13803,L mar etniker tratamiento  capilar caribe 4 en 1 x1000gr,l mar etniker tratamiento  capilar caribe 4 en 1 x1000gr,in stock,new,29400,https://almacensandra.com.co/product/p-13803-l-mar-etniker-tratamiento-capilar-caribe-4-en-1-x1000gr,https://casandra-static.s3.amazonaws.com/products/13803/81431.jpg,L MAR
