sku_id,title,price,description,availability,image,link
15662,Masglo esmalte  gel polish novia  x 14  ml,26800 COP,masglo esmalte  gel polish novia  x 14  ml,in stock,https://casandra-static.s3.amazonaws.com/products/15662/84186.jpg,https://almacensandra.com.co/product/p-15662-masglo-esmalte-gel-polish-novia-x-14-ml
15663,Masglo esmalte  gel polish matrimonio  x 14  ml,26800 COP,masglo esmalte  gel polish matrimonio  x 14  ml,in stock,https://casandra-static.s3.amazonaws.com/products/15663/84187.jpg,https://almacensandra.com.co/product/p-15663-masglo-esmalte-gel-polish-matrimonio-x-14-ml
15664,Masglo esmalte  gel polish tiza  x 14  ml,26800 COP,masglo esmalte  gel polish tiza  x 14  ml,in stock,https://casandra-static.s3.amazonaws.com/products/15664/84188.jpg,https://almacensandra.com.co/product/p-15664-masglo-esmalte-gel-polish-tiza-x-14-ml
15665,Masglo esmalte  gel polish virginal x 14  ml,26800 COP,masglo esmalte  gel polish virginal x 14  ml,in stock,https://casandra-static.s3.amazonaws.com/products/15665/84189.jpg,https://almacensandra.com.co/product/p-15665-masglo-esmalte-gel-polish-virginal-x-14-ml
15666,Masglo esmalte  gel polish base rubber  x 7 ml,17200 COP,masglo esmalte  gel polish base rubber  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15666/84190.jpg,https://almacensandra.com.co/product/p-15666-masglo-esmalte-gel-polish-base-rubber-x-7-ml
15668,Masglo esmalte  gel polish brillo luminoso  x 7 ml,17200 COP,masglo esmalte  gel polish brillo luminoso  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15668/84192.jpg,https://almacensandra.com.co/product/p-15668-masglo-esmalte-gel-polish-brillo-luminoso-x-7-ml
15670,Masglo esmalte  gel cat eye cazadora x 7 ml,24200 COP,masglo esmalte  gel cat eye cazadora x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15670/84194.jpg,https://almacensandra.com.co/product/p-15670-masglo-esmalte-gel-cat-eye-cazadora-x-7-ml
15671,Masglo esmalte  gel cat eye felina x 7 ml,24200 COP,masglo esmalte  gel cat eye felina x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15671/84195.jpg,https://almacensandra.com.co/product/p-15671-masglo-esmalte-gel-cat-eye-felina-x-7-ml
15672,Masglo esmalte  gel cat eye primitiva x 7 ml,24200 COP,masglo esmalte  gel cat eye primitiva x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15672/84196.jpg,https://almacensandra.com.co/product/p-15672-masglo-esmalte-gel-cat-eye-primitiva-x-7-ml
15673,Masglo esmalte  gel polish leal x 7 ml,17200 COP,masglo esmalte  gel polish leal x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15673/84197.jpg,https://almacensandra.com.co/product/p-15673-masglo-esmalte-gel-polish-leal-x-7-ml
15674,Masglo esmalte  gel polish guapa  x 7 ml,17200 COP,masglo esmalte  gel polish guapa  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15674/84198.jpg,https://almacensandra.com.co/product/p-15674-masglo-esmalte-gel-polish-guapa-x-7-ml
15675,Masglo esmalte  gel polish compasiva  x 7 ml,17200 COP,masglo esmalte  gel polish compasiva  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15675/84199.jpg,https://almacensandra.com.co/product/p-15675-masglo-esmalte-gel-polish-compasiva-x-7-ml
15676,Masglo esmalte  gel polish base coat x 14 ml,26800 COP,masglo esmalte  gel polish base coat x 14 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15676/84201.jpg,https://almacensandra.com.co/product/p-15676-masglo-esmalte-gel-polish-base-coat-x-14-ml
